PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1626157,2015-16,00,1610612750,MIN,20.0,82,82,2627,625,1153,0.542,30,88,0.341,223,275,0.811,229,629,858,161,58,138,183,245,1503
1626157,2016-17,00,1610612750,MIN,21.0,82,82,3030,802,1480,0.542,101,275,0.367,356,428,0.832,296,711,1007,220,56,103,212,241,2061
1626157,2017-18,00,1610612750,MIN,22.0,82,82,2918,639,1172,0.545,120,285,0.421,345,402,0.858,238,774,1012,199,64,115,159,285,1743
1626157,2018-19,00,1610612750,MIN,23.0,77,77,2545,681,1314,0.518,142,355,0.4,376,450,0.836,263,691,954,259,67,125,240,292,1880
1626157,2019-20,00,1610612750,MIN,24.0,35,35,1187,316,622,0.508,114,277,0.412,180,226,0.796,95,283,378,153,33,42,110,117,926
1626157,2020-21,00,1610612750,MIN,25.0,50,50,1689,425,875,0.486,122,315,0.387,267,311,0.859,133,396,529,225,39,57,160,186,1239
1626157,2021-22,00,1610612750,MIN,26.0,74,74,2475,642,1214,0.529,150,366,0.41,384,467,0.822,194,533,727,269,72,83,226,267,1818
1626157,2022-23,00,1610612750,MIN,27.0,29,29,957,212,428,0.495,60,164,0.366,118,135,0.874,48,188,236,140,20,17,86,111,602
1626157,2023-24,00,1610612750,MIN,28.0,62,62,2026,479,951,0.504,136,327,0.416,255,292,0.873,94,421,515,189,43,41,177,204,1349
1626157,2024-25,00,1610612752,NYK,29.0,72,72,2517,639,1215,0.526,142,338,0.42,339,409,0.829,212,708,920,222,71,50,192,249,1759
1626157,2025-26,00,1610612752,NYK,30.0,75,75,2322,517,1032,0.501,113,307,0.368,357,416,0.858,233,656,889,226,65,40,187,255,1504
1629013,2018-19,00,1610612755,PHI,22.0,54,4,1108,153,347,0.441,99,245,0.404,44,54,0.815,14,64,78,59,24,8,26,106,449
1629013,2018-19,00,1610612746,LAC,22.0,25,23,694,87,210,0.414,68,151,0.45,31,39,0.795,7,49,56,58,13,2,19,49,273
1629013,2018-19,00,0,TOT,22.0,79,27,1802,240,557,0.431,167,396,0.422,75,93,0.806,21,113,134,117,37,10,45,155,722
1629013,2019-20,00,1610612746,LAC,23.0,53,30,1452,158,391,0.404,111,296,0.375,65,76,0.855,6,94,100,99,20,10,42,142,492
1629013,2020-21,00,1610612751,BKN,24.0,61,12,1403,186,456,0.408,129,333,0.387,66,78,0.846,11,101,112,99,31,10,48,93,567
1629013,2021-22,00,1610612756,PHX,25.0,69,14,1437,191,485,0.394,123,334,0.368,68,81,0.84,16,110,126,108,28,9,41,92,573
1629013,2022-23,00,1610612756,PHX,26.0,40,9,807,113,300,0.377,75,199,0.377,45,51,0.882,11,56,67,93,26,5,36,61,346
1629013,2023-24,00,1610612764,WAS,27.0,46,5,727,118,274,0.431,53,157,0.338,38,46,0.826,16,46,62,54,25,10,30,76,327
1629013,2024-25,00,1610612752,NYK,28.0,50,0,762,106,230,0.461,62,156,0.397,12,18,0.667,11,50,61,27,23,2,22,52,286
1629013,2025-26,00,1610612752,NYK,29.0,51,12,1171,159,364,0.437,103,263,0.392,54,76,0.711,23,69,92,72,31,9,30,77,475
1641998,2023-24,00,1610612764,WAS,24.0,2,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0
1641998,2023-24,00,1610612763,MEM,24.0,23,14,573,75,136,0.551,0,0,0.0,21,25,0.84,64,69,133,27,12,28,33,69,171
1641998,2023-24,00,0,TOT,24.0,25,14,574,75,136,0.551,0,0,0.0,21,25,0.84,64,70,134,27,12,28,34,69,171
1641998,2024-25,00,1610612740,NOP,25.0,16,0,166,15,32,0.469,0,0,0.0,8,21,0.381,22,22,44,10,7,6,10,27,38
1641998,2024-25,00,1610612747,LAL,25.0,22,0,226,26,42,0.619,0,0,0.0,5,12,0.417,22,39,61,6,2,9,14,42,57
1641998,2024-25,00,0,TOT,25.0,38,0,392,41,74,0.554,0,0,0.0,13,33,0.394,44,61,105,16,9,15,24,69,95
1641998,2025-26,00,1610612752,NYK,26.0,13,0,82,6,10,0.6,0,0,0.0,1,1,1.0,8,10,18,5,1,2,10,11,13
1642885,2025-26,00,1610612752,NYK,21.0,69,7,634,90,213,0.423,48,130,0.369,18,24,0.75,15,79,94,53,17,6,30,50,246
1630574,2024-25,00,1610612752,NYK,23.0,25,1,217,21,31,0.677,0,0,0.0,6,13,0.462,14,37,51,11,1,15,21,32,48
1630574,2025-26,00,1610612752,NYK,24.0,54,5,498,45,80,0.563,1,4,0.25,26,33,0.788,56,103,159,29,9,26,32,67,117
